date_local,NO2_mean_ppb,NO2_median_ppb,NO2_max_ppb,AQI_mean,first_max_hour_mode
2020-06-27,6.5573255625,6.7458335,9.85,11.625,9
2020-06-28,2.7076086875,2.729167,4.095833,4.875,0
2020-06-29,4.756321875,4.007639,14.120833,10.0,23
2020-06-30,7.9677523125,6.791667,25.158333,16.25,4
2020-07-01,6.5720485625,6.45625,10.570833,11.25,6
2020-07-02,5.9707540625,5.741667,11.416667,9.5,10
2020-07-03,9.479053437500001,8.227083,19.933333,17.9375,5
2020-07-04,8.2737545625,8.4125,13.366667,16.5,5
2020-07-05,7.935371375,7.925,12.758333,15.25,0
2020-07-06,11.408876874999999,11.3770835,18.429167,21.75,4
2020-07-07,10.1836370625,10.057007500000001,16.0625,21.1875,0
2020-07-08,8.308952249999999,8.8630435,13.704167,16.4375,2
2020-07-09,9.2120696875,9.325,18.220833,15.3125,7
2020-07-10,11.98482075,11.3924245,23.104167,22.9375,9
2020-07-11,10.48477125,9.0375,17.491667,19.1875,4
2020-07-12,7.7196558125,7.825,11.308333,14.0,3
2020-07-13,8.0174253125,8.76875,12.654167,15.0625,5
2020-07-14,6.3615058125,5.4916665,14.45,11.25,4
2020-07-15,6.4261304,5.970833,14.883333,11.0,10
2020-07-16,7.551746133333333,6.279167,22.2125,13.6,9
2020-07-17,7.6886182,6.014286,21.504167,15.0,5
2020-07-18,6.462053133333333,6.991667,11.329167,11.533333333333333,5
2020-07-19,5.802717533333333,6.041667,8.5625,10.066666666666666,4
2020-07-20,8.655181133333334,8.791667,15.441667,14.466666666666667,4
2020-07-21,9.796807,10.260417,18.766667,17.1875,5
2020-07-22,8.2828093125,7.927083,17.1,13.9375,6
2020-07-23,6.7636548125000004,6.95,10.620833,11.1875,7
2020-07-24,7.827491875,7.485417,13.820833,13.5625,0
2020-07-25,6.9342390625,7.2229165,10.633333,11.5625,2
2020-07-26,7.024796125,6.858333,12.879167,12.625,2
2020-07-27,10.271569249999999,9.3604165,24.8,17.75,5
2020-07-28,10.6926579375,9.7125,22.475,17.125,5
2020-07-29,11.2507925625,9.579167,28.983333,17.5625,6
2020-07-30,12.938191125,12.229861,26.229167,21.4375,23
2020-07-31,16.50163425,15.943750000000001,29.25,30.625,7
2020-08-01,12.4419158125,11.5895835,21.2875,25.8125,0
2020-08-02,8.3685575,7.9937499999999995,14.804167,15.6875,3
2020-08-03,10.273007312499999,11.04375,16.416667,20.625,8
2020-08-04,8.2271205,8.7958335,13.508333,14.0625,21
2020-08-05,7.4654665625,7.0375,16.941667,11.875,7
2020-08-06,7.564099875,7.6354165,15.072222,15.1875,23
2020-08-07,9.785439499999999,9.51875,16.254167,17.6875,6
2020-08-08,8.762001875,9.129166999999999,16.45,16.6875,5
2020-08-09,6.35077,5.866667,11.658333,10.375,5
2020-08-10,9.811549,8.3708335,23.508333,15.875,7
2020-08-11,11.8867365625,11.089583000000001,26.5125,19.6875,5
2020-08-12,15.2371749375,14.00625,30.119048,29.5625,9
2020-08-13,16.2061725625,15.3541665,34.5875,27.0625,6
2020-08-14,15.9797925,14.80625,25.263636,32.9375,8
2020-08-15,13.3461616875,13.525,21.220833,25.25,9
2020-08-16,6.097271375,6.0145835000000005,10.552174,11.6875,5
2020-08-17,13.1690330625,13.179166500000001,23.766667,24.375,6
2020-08-18,14.29987775,14.008333499999999,31.308333,28.875,7
2020-08-19,13.8747813125,12.0979165,23.495833,26.875,5
2020-08-20,13.0019311875,13.771131,19.0875,27.0,9
2020-08-21,13.9925724375,15.0809785,19.06087,25.5625,8
2020-08-22,9.289787125,9.4354165,11.875,21.75,5
2020-08-23,4.8228035,5.0916665,6.629167,9.75,5
2020-08-24,7.808703375,6.862500000000001,18.35,12.75,9
2020-08-25,10.3257666875,9.679166500000001,21.070833,17.3125,9
2020-08-26,11.8934826875,10.995833000000001,25.770833,19.9375,9
2020-08-27,13.633211750000001,12.275,27.895833,24.875,7
2020-08-28,12.369353266666668,12.208333,23.0625,22.4,1
2020-08-29,7.3552658,6.816667,14.908333,12.0,6
2020-08-30,5.566280133333334,5.095833,10.1625,8.866666666666667,1
2020-08-31,8.338695733333333,7.216667,21.9,15.333333333333334,6
2020-09-01,8.078876866666667,7.466667,22.770833,14.133333333333333,8
2020-09-02,10.911928933333334,9.304167,28.979167,18.533333333333335,5
2020-09-03,13.747867266666667,14.175,23.770833,24.6,6
2020-09-04,17.033225866666665,17.204167,28.5375,33.8,7
2020-09-05,17.571171733333333,16.741667,30.504167,31.933333333333334,23
2020-09-06,13.799836066666666,15.2875,24.635714,25.733333333333334,0
2020-09-07,8.76620676923077,8.316667,13.9,19.846153846153847,6
2020-09-08,9.215631400000001,6.9125,35.466667,16.266666666666666,23
2020-09-09,14.133054266666667,13.270833,32.979167,25.466666666666665,22
2020-09-10,23.9848292,22.629167,37.241667,36.333333333333336,10
2020-09-11,24.5322915625,24.893749999999997,41.7,41.6875,11
2020-09-12,21.760846875,21.7,33.125,38.125,9
2020-09-13,15.42530575,13.933333000000001,24.829167,23.6875,8
2020-09-14,20.8440556875,19.8833335,37.7625,40.1875,7
2020-09-15,23.5324618125,22.65625,49.704348,43.5,8
2020-09-16,24.851439000000003,24.154167,52.870833,48.4,7
2020-09-17,23.626156,25.160417000000002,41.316667,41.25,9
2020-09-18,22.4187366875,20.9020835,33.7875,41.1875,6
2020-09-19,14.0137115,13.01875,23.2125,24.25,23
2020-09-20,10.03908525,9.685417000000001,14.870833,19.4375,0
2020-09-21,11.0665080625,11.91875,17.045833,19.0625,5
2020-09-22,13.2923585,12.38125,30.075,23.1875,10
2020-09-23,17.1826280625,15.966369,34.970833,29.3125,6
2020-09-24,19.3318598125,18.908333499999998,28.6875,36.0625,7
2020-09-25,14.0217730625,13.76875,22.295833,25.6875,0
2020-09-26,9.5761095625,8.997917000000001,13.820833,18.5,0
2020-09-27,6.2066123125,6.2737315,11.275,10.6875,0
2020-09-28,13.827705937500001,13.0354165,31.558333,24.375,9
2020-09-29,17.6792923125,16.197192,35.495833,32.5,20
2020-09-30,23.141881875,23.356250000000003,49.4375,43.875,7
2020-10-01,23.9403351875,22.8925595,36.479167,41.5,8
2020-10-02,23.229706999999998,22.685416500000002,34.2375,40.5625,7
2020-10-03,18.099615,17.7354165,29.266667,34.6875,0
2020-10-04,15.837703874999999,15.693750000000001,25.025,28.0625,21
2020-10-05,21.684484625,21.19375,42.904167,37.875,7
2020-10-06,23.0993844375,22.2375,40.729167,39.5625,8
2020-10-07,17.075645375,17.114583,27.970833,34.9375,8
2020-10-08,8.4576831875,8.041369,19.585,15.6875,23
2020-10-09,9.502821125,8.5291665,23.825,16.5625,4
2020-10-10,6.7708220625,6.50625,9.875,12.6875,23
2020-10-11,9.3774683125,9.297917,14.766667,15.8125,22
2020-10-12,19.3300951875,20.0229165,39.316667,34.5625,9
2020-10-13,23.969855875,23.435416500000002,48.304167,42.0,8
2020-10-14,26.6007958125,25.912798000000002,39.920833,45.375,8
2020-10-15,27.2128833125,25.729166499999998,57.2875,46.5625,23
2020-10-16,24.3606483125,24.8578805,38.054167,39.3125,8
2020-10-17,16.2823256875,16.9375,24.616667,30.5,0
2020-10-18,11.374150875,11.279167000000001,17.808333,19.3125,5
2020-10-19,12.42351675,12.2645835,18.870833,20.0,8
2020-10-20,13.574384133333334,12.770833,25.354167,20.333333333333332,8
2020-10-21,12.56734375,12.63125,22.033333,20.0625,8
2020-10-22,10.4522531875,10.924275000000002,15.083333,20.5625,21
2020-10-23,10.295720124999999,9.4020835,18.170833,17.6875,0
2020-10-24,7.9327445625,7.5270835,18.854167,15.875,6
2020-10-25,6.000837875,5.735417,10.004167,12.8125,23
2020-10-26,15.305245625,15.2520835,29.575,33.625,19
2020-10-27,22.22126575,20.666667,51.775,40.125,8
2020-10-28,23.80218625,21.5541665,44.495833,37.8125,7
2020-10-29,29.4982244375,26.995833500000003,58.245833,46.75,8
2020-10-30,29.130258125,31.208333500000002,43.925,45.1875,11
2020-10-31,23.9795176875,24.1875,39.6375,38.8125,9
2020-11-01,20.429393125,20.233333000000002,33.208333,35.875,0
2020-11-02,23.456062625,24.6875,36.25,35.1875,8
2020-11-03,23.373453333333334,24.125,34.009091,33.733333333333334,7
2020-11-04,26.25611892857143,25.9113635,39.591667,43.785714285714285,19
2020-11-05,30.534011333333336,27.783333,57.55,44.6,17
2020-11-06,12.702412733333334,12.491667,20.858333,30.533333333333335,0
2020-11-07,5.850000071428572,5.0270835,13.125,13.714285714285714,23
2020-11-08,6.060416785714286,5.2395835,11.741667,14.285714285714286,0
2020-11-09,14.538110999999999,14.98,20.795833,27.6,20
2020-11-10,19.645974000000002,22.725,26.175,32.13333333333333,20
2020-11-11,25.070187875000002,24.48125,42.7,35.4375,21
2020-11-12,25.337846375,25.0440215,45.133333,37.6875,21
2020-11-13,25.4134120625,25.25875,36.454167,36.8125,0
2020-11-14,19.4733015625,22.104166499999998,26.6125,32.3125,20
2020-11-15,18.834024125,22.791667,28.466667,32.125,18
2020-11-16,24.636254625,25.9708335,41.321739,42.625,20
2020-11-17,26.641501066666667,28.554167,35.654167,40.8,8
2020-11-18,16.046596785714286,17.072916499999998,28.220833,26.571428571428573,0
2020-11-19,15.944601533333334,16.341667,26.404167,27.0,18
2020-11-20,25.570229533333336,28.070833,36.920833,40.6,17
2020-11-21,24.304601533333333,26.395833,37.6,36.93333333333333,19
2020-11-22,21.043659533333333,23.179167,30.179167,31.8,20
2020-11-23,19.034504625,20.35,29.9,27.5,20
2020-11-24,20.816499625,19.7720835,34.591667,33.75,21
2020-11-25,21.890704125,21.5875,43.370833,34.3125,8
2020-11-26,12.33783975,13.1270835,19.975,24.1875,0
2020-11-27,16.6243434375,17.310417,33.529167,29.0625,19
2020-11-28,19.390489125,20.3458335,35.808333,31.75,18
2020-11-29,19.3145380625,21.6083335,31.1,30.875,19
2020-11-30,25.17290525,26.502083,52.8875,39.625,18
