date_local,CO_mean_ppm,CO_median_ppm,CO_max_ppm,AQI_mean
2020-07-18,0.19166675,0.2,0.3,2.1666666666666665
2020-07-19,0.18298608333333333,0.2,0.295833,2.1666666666666665
2020-07-20,0.18993058333333335,0.2,0.295833,2.25
2020-07-21,0.20349275,0.2104165,0.3,2.5833333333333335
2020-07-22,0.17708325,0.2,0.266667,2.0833333333333335
2020-07-23,0.16284716666666668,0.1958335,0.245833,1.8333333333333333
2020-07-24,0.17708333333333334,0.2,0.25,2.0833333333333335
2020-07-25,0.18958333333333333,0.2,0.3,2.1666666666666665
2020-07-26,0.20590275,0.220833,0.354167,2.75
2020-07-27,0.21041666666666667,0.2375,0.325,2.6666666666666665
2020-07-28,0.214236,0.2291665,0.345833,3.0
2020-07-29,0.21527775000000002,0.23125,0.354167,3.0
2020-07-30,0.24513883333333333,0.26875,0.4,3.5833333333333335
2020-07-31,0.29923608333333335,0.3041665,0.579167,5.0
2020-08-01,0.2739584166666667,0.3020835,0.4,4.416666666666667
2020-08-02,0.22575763636363638,0.2625,0.316667,3.4545454545454546
2020-08-03,0.221212,0.2375,0.308333,3.090909090909091
2020-08-04,0.18863645454545452,0.2,0.3125,2.4545454545454546
2020-08-05,0.16325763636363638,0.191667,0.241667,1.8181818181818181
2020-08-06,0.14687508333333335,0.15208349999999998,0.208333,1.8333333333333333
2020-08-07,0.19652775,0.2020835,0.3,2.4166666666666665
2020-08-08,0.2300100769230769,0.233333,0.379167,3.4615384615384617
2020-08-09,0.1987179230769231,0.2,0.320833,2.3846153846153846
2020-08-10,0.21698723076923077,0.225,0.3375,3.0
2020-08-11,0.22863253846153847,0.266667,0.372222,3.6923076923076925
2020-08-12,0.2964743846153846,0.279167,0.504167,5.0
2020-08-13,0.288141,0.279167,0.425,4.923076923076923
2020-08-14,0.3483974615384616,0.320833,0.554167,6.3076923076923075
2020-08-15,0.33680550000000004,0.3375,0.6,5.416666666666667
2020-08-16,0.25663375,0.241886,0.591667,3.6666666666666665
2020-08-17,0.31284724999999997,0.3,0.475,5.083333333333333
2020-08-18,0.34479166666666666,0.3520835,0.529167,5.666666666666667
2020-08-19,0.33293991666666667,0.32958350000000003,0.5125,5.5
2020-08-20,0.32287446153846155,0.341667,0.4875,5.384615384615385
2020-08-21,0.35288469230769226,0.3375,0.641667,5.615384615384615
2020-08-22,0.33715283333333335,0.33541699999999997,0.466667,5.333333333333333
2020-08-23,0.23402783333333332,0.23125,0.404167,3.0833333333333335
2020-08-24,0.23817391666666665,0.25416649999999996,0.329167,3.1666666666666665
2020-08-25,0.275926,0.29374999999999996,0.454167,4.416666666666667
2020-08-26,0.26705475,0.279412,0.520833,4.083333333333333
2020-08-27,0.331148,0.359804,0.491667,5.25
2020-08-28,0.2821969090909091,0.325,0.4625,4.545454545454546
2020-08-29,0.20113636363636364,0.233333,0.35,2.727272727272727
2020-08-30,0.17537872727272727,0.2,0.3,1.9090909090909092
2020-08-31,0.2015152727272727,0.229167,0.2875,2.6363636363636362
2020-09-01,0.180303,0.2,0.2875,2.4545454545454546
2020-09-02,0.2178031818181818,0.241667,0.354167,2.909090909090909
2020-09-03,0.2922459090909091,0.291667,0.483333,4.454545454545454
2020-09-04,0.4005681818181818,0.404167,0.670833,6.181818181818182
2020-09-05,0.43712136363636367,0.4375,0.791667,6.818181818181818
2020-09-06,0.44886354545454543,0.4125,0.795833,8.181818181818182
2020-09-07,0.3621211818181818,0.3625,0.516667,6.0
2020-09-08,0.23437491666666666,0.21666649999999998,0.35,3.3333333333333335
2020-09-09,0.33998833333333334,0.360417,0.611111,5.666666666666667
2020-09-10,0.6059739166666667,0.6513884999999999,0.975,10.083333333333334
2020-09-11,0.8793793333333334,0.9312499999999999,1.415789,13.416666666666666
2020-09-12,0.9454860833333334,1.0729165,1.366667,14.166666666666666
2020-09-13,0.8273954615384616,0.854167,1.1375,11.846153846153847
2020-09-14,0.9410256923076923,0.945833,1.279167,14.0
2020-09-15,0.8874999230769232,0.891667,1.270833,13.076923076923077
2020-09-16,0.7831196153846154,0.916667,1.083333,13.384615384615385
2020-09-17,0.574787,0.60625,0.8,9.833333333333334
2020-09-18,0.5369211666666667,0.5916665,0.845833,8.75
2020-09-19,0.44548608333333334,0.4916665,0.683333,6.833333333333333
2020-09-20,0.42465274999999997,0.4375,0.5875,6.75
2020-09-21,0.36493058333333334,0.38958349999999997,0.441667,5.166666666666667
2020-09-22,0.36666658333333335,0.40208350000000004,0.479167,5.5
2020-09-23,0.4276619166666667,0.4305555,0.625,6.583333333333333
2020-09-24,0.4817131666666667,0.5208335,0.641667,7.583333333333333
2020-09-25,0.39166675,0.42500000000000004,0.575,5.916666666666667
2020-09-26,0.34756950000000003,0.372917,0.454167,4.916666666666667
