DATE,TMAX_C,TMIN_C,TAVG_C,PRCP_mm,AWND,WT01,WT02,WT08
2022-01-22,22.22222222222222,10.0,16.11111111111111,0.0,2.01,0,0,0
2022-01-23,22.77777777777778,9.444444444444445,16.11111111111111,0.0,1.12,0,0,0
2022-01-24,21.666666666666668,8.333333333333334,15.0,0.0,1.12,1,0,0
2022-01-25,19.444444444444443,8.333333333333334,13.88888888888889,0.0,0.67,1,0,1
2022-01-26,21.666666666666668,7.222222222222222,14.444444444444445,0.0,0.67,1,0,1
2022-01-27,21.11111111111111,7.777777777777778,14.444444444444445,0.0,0.67,0,0,1
2022-01-28,22.77777777777778,7.777777777777778,15.277777777777777,0.0,1.79,0,0,0
2022-01-29,20.0,10.555555555555555,15.277777777777777,0.0,0.67,0,0,0
2022-01-30,21.11111111111111,6.111111111111111,13.61111111111111,0.0,1.34,0,0,0
2022-01-31,17.22222222222222,7.777777777777778,12.5,0.0,0.45,1,0,1
2022-02-01,17.22222222222222,10.0,13.61111111111111,0.0,1.57,1,0,1
2022-02-02,18.333333333333332,7.222222222222222,12.777777777777777,0.0,0.0,1,0,1
2022-02-03,18.333333333333332,5.555555555555555,11.944444444444445,0.0,0.335,0,0,0
2022-02-04,21.11111111111111,6.666666666666666,13.88888888888889,0.0,0.67,0,0,0
2022-02-05,21.11111111111111,5.555555555555555,13.333333333333332,0.0,0.45,0,0,1
2022-02-06,23.88888888888889,6.111111111111111,15.0,0.0,0.8966666666666667,0,0,0
2022-02-07,24.444444444444443,8.333333333333334,16.38888888888889,0.0,1.3433333333333335,0,0,0
2022-02-08,26.11111111111111,10.555555555555555,18.333333333333332,0.0,1.79,0,0,0
2022-02-09,28.333333333333332,10.0,19.166666666666668,0.0,0.45,0,0,0
2022-02-10,28.333333333333332,12.777777777777777,20.555555555555554,0.0,1.12,0,0,1
2022-02-11,27.77777777777778,11.666666666666666,19.72222222222222,0.0,0.67,0,0,0
2022-02-12,30.0,11.11111111111111,20.555555555555554,0.0,1.12,0,0,0
2022-02-13,28.88888888888889,12.222222222222221,20.555555555555554,0.0,1.12,0,0,0
2022-02-14,23.88888888888889,10.0,16.944444444444443,0.0,1.12,0,0,0
2022-02-15,15.555555555555555,10.0,12.777777777777777,1.5239999999999998,3.8,1,0,1
2022-02-16,17.77777777777778,7.777777777777778,12.777777777777777,0.0,2.24,0,0,0
2022-02-17,20.555555555555554,8.333333333333334,14.444444444444445,0.0,1.12,1,0,1
2022-02-18,21.666666666666668,8.88888888888889,15.277777777777777,0.0,1.57,0,0,0
2022-02-19,22.77777777777778,8.88888888888889,15.833333333333332,0.0,1.34,0,0,0
